As Loterias - www.asloterias.com.br - Todos Resultados da TimeMania;;;;;;;;;
Este arquivo foi baixado no site www.asloterias.com.br no dia 19/03/2019;;;;;;;;;
Visite o site para baixar a versão mais atualizada deste arquivo!;;;;;;;;;
;;;;;;;;;
TODOS RESULTADOS DA TIMEMANIA POR ORDEM DE SORTEIO;;;;;;;;;
;;;;;;;;;
Concurso;Data;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;Time do Coração
1221;21/08/2018;19;12;70;67;58;47;48;OLARIA/RJ
1220;18/08/2018;73;46;69;56;10;18;35;OLARIA/RJ
1219;16/08/2018;22;38;48;1;34;62;3;PAYSANDU/PA
1218;14/08/2018;39;68;72;60;29;71;42;UBERLÂNDIA/MG
1217;11/08/2018;80;56;4;12;31;69;61;VILA NOVA/GO
1216;09/08/2018;36;50;15;79;22;71;16;FLUMINENSE/RJ
1215;07/08/2018;23;57;67;43;66;37;15;RIVER/PI
1214;04/08/2018;13;68;23;19;33;61;10;PAULISTA/SP
1213;02/08/2018;70;10;75;41;51;20;40;IPATINGA/MG
1212;31/07/2018;13;51;37;26;72;2;73;CRUZEIRO/MG
1211;28/07/2018;36;4;44;16;39;62;1;UNIÃO BARBARENSE/SP
1210;26/07/2018;7;65;79;31;56;61;12;CRB/AL
1209;24/07/2018;63;18;68;56;29;5;9;DESPORTIVA/ES
1208;21/07/2018;52;35;70;8;79;9;7;AMERICANO/RJ
1207;19/07/2018;53;35;41;4;48;56;43;ATLÉTICO/PR
1206;17/07/2018;5;13;48;41;69;49;8;PAULISTA/SP
1205;14/07/2018;7;23;54;75;69;70;29;PONTE PRETA/SP
1204;12/07/2018;32;65;39;70;5;29;51;BRASILIENSE/DF
1203;10/07/2018;44;62;24;31;57;11;50;SAMPAIO CORRÊA/MA
1202;07/07/2018;58;69;12;63;75;36;44;SÃO CAETANO/SP
1201;05/07/2018;26;54;24;52;18;33;36;SÃO  CAETANO/SP
1200;03/07/2018;74;53;65;77;15;58;62;SÃO PAULO/SP
1199;30/06/2018;34;10;24;29;22;30;36;JUVENTUS/SP
1198;28/06/2018;40;30;51;79;48;18;47;SÃO RAIMUNDO/AM
